pair,participant,round,target,first_cue,fas_tcfirst,bas_tcfirst,first_response,fas_crfirst,bas_crfirst,second_cue,fas_tcsecond,bas_tcsecond,second_response,fas_crsecond,bas_crsecond,third_cue,fas_tcthird,bas_tcthird,third_response,fas_crthird,bas_crthird,fourth_cue,fas_tcfourth,bas_tcfourth,fourth_response,fas_crfourth,bas_crfourth,fifth_cue,fas_tcfifth,bas_tcfifth,fifth_response,fas_crfifth,bas_crfifth,condition,language,ideas_whatexperimentabout,comments,version,country,
D,7,13,occupation,job,,,work,,,work,,,occupation,,,,,,,,,,,,,,,,,,,,,non-face,English,,"#sig accidentally provided response ""work"" also as a cue and then it was correct",2,,
D,8,14,cob,corn,,,kernel,,,on,,,husk,,,long,,,cob,,,,,,,,,,,,,,,non-face,English,,,2,,
D,7,15,cod,fish,,,salmon,,,white fish,,,cod,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
D,8,16,butcher,cutter,,,butcher,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
D,7,17,affection,love,,,affection,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
D,8,18,steed,mighty,,,steed,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
D,7,19,crossword,cryptic,,,conundrum,,,word puzzle,,,riddle,,,grid,,,crossword,,,,,,,,,,,,,,,non-face,English,,,2,,
D,8,20,grater,cheese,,,grater,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,English,,,2,,
E,9,1,pepperoni,salami,,,pepperoni,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,word cloud and predictions; if we can formulate  compound words; assocaitions,,2,UK,
E,10,2,crescent,moon,,,sun,,,street,0.02,na,crescent,na,0.02,,,,,,,,,,,,,,,,,,,face,English,,,2,UK,
E,9,3,yolk,egg,,,nog,,,yellow,0.02,na,yolk,na,0.02,,,,,,,,,,,,,,,,,,,face,English,,,2,,
E,10,4,retina,eye,,,brow,,,optical,na,0.01,pupil,na,na,sight,na,na,retina,na,na,,,,,,,,,,,,,face,English,,,2,,
E,9,5,bouquet,flowers,,,roses,,,bunch,na,na,bouquet,na,na,,,,,,,,,,,,,,,,,,,face,English,,,2,,
E,10,6,loaf,bread,,,baguette,,,sugar,na,na,yeast,na,na,baking,na,na,bakery,na,na,banana,na,na,loaf,na,na,,,,,,,face,English,,,2,,
E,9,7,blaze,fire,,,combustion,,,uncontrolled,na,na,blaze,na,na,,,,,,,,,,,,,,,,,,,face,English,,,2,,
E,10,8,sill,na,,,na,,,na,na,na,na,,,,,,,,,,,,,,,,,,,,,face,English,,"sig acc. Said target word out loud, so need to discard trial",2,,
E,9,9,acquaintance,unfamiliar,,,acquaintance,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
E,10,10,bank,heist,,,bank,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
E,9,11,bulb,leish,,,bulb,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
E,10,12,brewery,beer,,,six pack,,,yeast,na,na,brewery,na,na,,,,,,,,,,,,,,,,,,,face,English,,,2,,
E,9,13,occupation,position,,,occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
E,10,14,cob,corn,,,cob,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
E,9,15,cod,deepfried,,,cod,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
E,10,16,butcher,abattoir,,,veal,,,meat,0.53,0.01,steak,0.08,0.33,business,na,na,butcher,na,na,,,,,,,,,,,,,face,English,,,2,,
E,9,17,affection,gestures,,,affection,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,"#wrong round, 19; guesser already knew it's not adoration",2,,
E,10,18,steed,noble,,,steed,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
E,9,19,crossword,cross,,,crossword,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,"#sig. Repeated words from 17, #cross as cue is part of the target word.",2,,
E,10,20,grater,cheese,,,grater,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,2,,
F,11,1,blaze,fire,,,blaze,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,"word associations, how certain words associated with other words/which word associated first/connection certain words with mental image (why this and not that..)",,3,South Africa,
F,12,2,bank,money,,,cash,,,savings,0.01,0.18,finances,,na,building,na,na,bank,na,na,,,,,,,,,,,,,face,English,,,3,India,
F,11,3,loaf,bread,,,loaf,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
F,12,4,yolk,egg,,,yolk,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
F,11,5,occupation,job,,,work,,,profession,na,0.03,career,0.08,0.03,vocation,0.01,na,occupation,na,0.01,,,,,,,,,,,,,face,English,,,3,,
F,12,6,cod,fish,,,salmon,,,dinner,na,na,sushi,na,na,big,na,na,cod,na,na,,,,,,,,,,,,,face,English,,,3,,
F,11,7,steed ,horse,,,stallion,,,riding,na,na,steed,na,na,,,,,,,,,,,,,,,,,,,face,English,,,3,,
F,12,8,retina,eyeball,,,pupil,,,sensitive,na,na,retina,na,na,,,,,,,,,,,,,,,,,,,face,English,,,3,,
F,11,9,pepperoni,sausage,,,pepperoni,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
F,12,10,sill,window,,,shelf,,,pane,na,na,sill,na,na,,,,,,,,,,,,,,,,,,,face,English,,,3,,
F,11,11,butcher,meat,,,steak,,,shop,na,na,butcher,na,na,,,,,,,,,,,,,,,,,,,face,English,,,3,,
F,12,12,grater,cheese,,,cheddar,,,"shredding, but grter shredder is .01!",na,na,grater,na,na,,,,,,,,,,,,,,,,,,,face,English,,,3,,
F,11,13,acquaintance,friend,,,buddy,,,associate,na,0.01,acquaintance,0.01,na,,,,,,,,,,,,,,,,,,,face,English,,,3,,
F,12,14,crescent,moon,,,crescent,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
F,11,15,bulb,light,,,lamp,,,spherical,na,na,bulb,na,na,,,,,,,,,,,,,,,,,,,face,English,,,3,,
F,12,16,bouquet,flowers,,,bouquet,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
F,11,17,crossword,puzzle,,,jigsaw,,,newspaper,0.03,0.01,crossword,0.01,0.03,,,,,,,,,,,,,,,,,,,face,English,,,3,,
F,12,18,cob,web,,,cob,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
F,11,19,brewery,beer,,,lager,,,building,na,na,brewery,na,na,,,,,,,,,,,,,,,,,,,face,English,,,3,,
F,12,20,affection,love,,,affection,,,,,,,,,,,,,,,,,,,,,,,,,,,face,English,,,3,,
