pair,participant,round,target,first_cue,fas_tcfirst,bas_tcfirst,first_response,fas_crfirst,bas_crfirst,second_cue,fas_tcsecond,bas_tcsecond,second_response,fas_crsecond,bas_crsecond,third_cue,fas_tcthird,bas_tcthird,third_response,fas_crthird,bas_crthird,fourth_cue,fas_tcfourth,bas_tcfourth,fourth_response,fas_crfourth,bas_crfourth,fifth_cue,fas_tcfifth,bas_tcfifth,fifth_response,fas_crfifth,bas_crfifth,condition,language,ideas_whatexperimentabout,comments,version,country
G,13,7,Hammer,Nagel,,,Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,14,8,Lilie,Blume,,,Blüte,,,weiß,,,Lilie,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,13,9,Krone,König,,,Krone,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,14,10,Kamm,Haare,,,Friseur,,,Scheitel,,,Kamm,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,13,11,Paddel,Kanu,,,Fluss,,,lenken,,,Paddel,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,14,12,Schirm,Regen,,,Schirm,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,13,13,Brücke,überqueren,,,Brücke,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,14,14,Knochen,Skelett,,,Knochen,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,13,15,Butter,Brot,,,Bäcker,,,Milch,,,Butter,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,14,16,Feder,Flügel,,,Feder,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,13,17,Brunnen,Wasser,,,Fontäne,,,schöpfen,,,Brunnen,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,14,18,Rüstung,Schutz,,,Rüstung,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,13,19,Dach,Haus,,,Dach,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
G,14,20,Gebiss,Zähne,,,Mund,,,kauen,,,Gebiss,,,,,,,,,,,,,,,,,,,,,face,German,,,2,
H,15,1,Pilz,Stroganoff,,,Bombe,,,fliegen,,,Gewehr,,,gepunktet,,,Pilz,,,,,,,,,,,,,,,non-face,German,,"#guesser didn't know what ""Stroganoff"" is and didn't undersand how the list works at the beginning",2,Swiss German
H,16,2,Radio,BigFM,,,Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
H,15,3,Axt,Holz,,,Schrank,,,hacken,,,Axt,,,,,,,,,,,,,,,,,,,,,non-face,German,,"#guesser understood ""hocken"" instead of ""hacken"" because of the sig's Swiss accent; he improved himself from Hocker to Axt",2,
H,16,4,Hafen,Schiff,,,Yacht,,,Anker,,,Hafen,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
H,15,5,Lehrerin,Unterricht,,,Lehrerin,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
H,16,6,Mauer,Backsteine,,,Mauer,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
H,15,7,Hammer,Nagel,,,Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
H,16,8,Lilie,Blume,,,Lilie,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,"#sig:""Blume.. Ok, das kann jetzt alles sein""",2,
H,15,9,Krone,Zahn,,,Löwe,,,König/Königin,,,Krone,,,,,,,,,,,,,,,,,,,,,non-face,German,,"#sig:""König oder Königin""",2,
H,16,10,Kamm,Haare,,,Kopf,,,entwirren,,,Kamm,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
H,15,11,Paddel,Boot,,,Paddel,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
H,16,12,Schirm,Regenschutz,,,Schirm,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
H,15,13,Brücke,Fluss,,,Wasser,,,über,,,Brücke,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
H,16,14,Knochen,brechen,,,Knochen,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
H,15,15,Butter,Milch,,,Käse,,,Brot,,,Buttter,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
H,16,16,Feder,Vogel,,,Strauß,,,fliegen,,,Kuckuck,,,schreiben,,,Feder,,,,,,,,,,,,,,,non-face,German,,,2,
H,15,17,Brunnen,Wasser,,,Brunnen,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
H,16,18,Rüstung,Verteidigung,,,Burg,,,Waffen,,,Schwert,,,Krieg,,,Rüstung,,,,,,,,,,,,,,,non-face,German,,,2,
H,15,19,Dach,Haus,,,Dach,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,"#guesser didn't know what ""Schindel"" is, so new words was provided",2,
H,16,20,Gebiss,Zahnersatz,,,Gebiss,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,2,
I,17,1,Krone,Kopf,,,Krone,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,18,2,Hafen,Schiff,,,Yacht,,,Anker,,,Hafen,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,17,3,Brunnen,Wasser,,,Brunnen,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,18,4,Kamm,Haare,,,Perücke,,,Holz,,,Kamm,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,17,5,Dach,Decker,,,Dach,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,18,6,Lilie,Blume,,,Tulpe,,,exotisch,,,Lilie,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,17,7,Paddel,Ruder,,,Paddel,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,18,8,Gebiss,Mund,,,Gebiss,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,17,9,Feder,Gefieder,,,Pfau,,,Vogel,,,Strauß,,,Haut,,,Kuckuck,,,Fell,,,Feder,,,,,,,,,face,German,,,1,
I,18,10,Schirm,Regen,,,Dach,,,Schutz,,,Schirm,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,17,11,Radio,Funk,,,Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,18,12,Axt,Holz,,,Axt,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,17,13,Butter,Milch,,,Käse,,,Margarine,,,Butter,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,18,14,Rüstung,Ritter,,,Rüstung,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,17,15,Hammer,Werkzeug,,,Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,18,16,Lehrerin,Schüler,,,Lehrerin,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,17,17,Mauer,Haus,,,Mauer,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,18,18,Knochen,Hund,,,Dackel,,,Leckerli,,,Knochen,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,17,19,Pilz,Schimmel,,,Pilz,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
I,18,20,Brücke,Stein,,,Brücke,,,,,,,,,,,,,,,,,,,,,,,,,,,face,German,,,1,
J,19,1,Krone,König,,,Krone,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,"word associations, connect with other words; clarity of communication",,1,
J,20,2,Hafen,Schiff,,,Anker,,,anlegen,,,Hafen,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,19,3,Brunnen,schöpfen,,,Eimer,,,tief,,,Brunnen,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,20,4,Kamm,Haare,,,Kamm,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,19,5,Dach,Ziegelsteine,,,Dach,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,20,6,Lilie,Blume,,,Blüte,,,weiß,,,Tulpe,,,Trauer,,,Lilie,,,,,,,,,,,,,,,non-face,German,,,1,
J,19,7,Paddel,Kanu,,,Paddel,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,20,8,Gebiss,Zähne,,,Gebiss,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,19,9,Feder,Vogel,,,Feder,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,20,10,Schirm,Regen,,,Schirm,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,19,11,Radio,Sender,,,Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
J,20,12,Axt,fällen,,,Axt,,,,,,,,,,,,,,,,,,,,,,,,,,,non-face,German,,,1,
